ID,SleepDay,SleepDate,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,Key (joining A & B),,,
1503960366,4/12/2016,4/12/2016,1,327,346,15039603664/12/2016,,,
1503960366,4/13/2016,4/13/2016,2,384,407,15039603664/13/2016,,,
1503960366,4/15/2016,4/15/2016,1,412,442,15039603664/15/2016,,,
1503960366,4/16/2016,4/16/2016,2,340,367,15039603664/16/2016,,,
1503960366,4/17/2016,4/17/2016,1,700,712,15039603664/17/2016,,,
1503960366,4/19/2016,4/19/2016,1,304,320,15039603664/19/2016,,,
1503960366,4/20/2016,4/20/2016,1,360,377,15039603664/20/2016,,,
1503960366,4/21/2016,4/21/2016,1,325,364,15039603664/21/2016,,,
1503960366,4/23/2016,4/23/2016,1,361,384,15039603664/23/2016,,,
1503960366,4/24/2016,4/24/2016,1,430,449,15039603664/24/2016,,,
1503960366,4/25/2016,4/25/2016,1,277,323,15039603664/25/2016,,,
1503960366,4/26/2016,4/26/2016,1,245,274,15039603664/26/2016,,,
1503960366,4/28/2016,4/28/2016,1,366,393,15039603664/28/2016,,,
1503960366,4/29/2016,4/29/2016,1,341,354,15039603664/29/2016,,,
1503960366,4/30/2016,4/30/2016,1,404,425,15039603664/30/2016,,,
1503960366,5/1/2016,5/1/2016,1,369,396,15039603665/1/2016,,,
1503960366,5/2/2016,5/2/2016,1,277,309,15039603665/2/2016,,,
1503960366,5/3/2016,5/3/2016,1,273,296,15039603665/3/2016,,,
1503960366,5/5/2016,5/5/2016,1,247,264,15039603665/5/2016,,,
1503960366,5/6/2016,5/6/2016,1,334,367,15039603665/6/2016,,,
1503960366,5/7/2016,5/7/2016,1,331,349,15039603665/7/2016,,,
1503960366,5/8/2016,5/8/2016,1,594,611,15039603665/8/2016,,,
1503960366,5/9/2016,5/9/2016,1,338,342,15039603665/9/2016,,,
1503960366,5/10/2016,5/10/2016,1,383,403,15039603665/10/2016,,,
1503960366,5/11/2016,5/11/2016,1,285,306,15039603665/11/2016,,,
1644430081,4/29/2016,4/29/2016,1,119,127,16444300814/29/2016,,,
1644430081,4/30/2016,4/30/2016,1,124,142,16444300814/30/2016,,,
1644430081,5/2/2016,5/2/2016,1,796,961,16444300815/2/2016,,,
1644430081,5/8/2016,5/8/2016,1,137,154,16444300815/8/2016,,,
1844505072,4/15/2016,4/15/2016,1,644,961,18445050724/15/2016,,,
1844505072,4/30/2016,4/30/2016,1,722,961,18445050724/30/2016,,,
1844505072,5/1/2016,5/1/2016,1,590,961,18445050725/1/2016,,,
1927972279,4/12/2016,4/12/2016,3,750,775,19279722794/12/2016,,,
1927972279,4/13/2016,4/13/2016,1,398,422,19279722794/13/2016,,,
1927972279,4/15/2016,4/15/2016,2,475,499,19279722794/15/2016,,,
1927972279,4/26/2016,4/26/2016,1,296,315,19279722794/26/2016,,,
1927972279,4/28/2016,4/28/2016,1,166,178,19279722794/28/2016,,,
2026352035,4/12/2016,4/12/2016,1,503,546,20263520354/12/2016,,,
2026352035,4/13/2016,4/13/2016,1,531,565,20263520354/13/2016,,,
2026352035,4/14/2016,4/14/2016,1,545,568,20263520354/14/2016,,,
2026352035,4/15/2016,4/15/2016,1,523,573,20263520354/15/2016,,,
2026352035,4/16/2016,4/16/2016,1,524,567,20263520354/16/2016,,,
2026352035,4/17/2016,4/17/2016,1,437,498,20263520354/17/2016,,,
2026352035,4/19/2016,4/19/2016,1,498,540,20263520354/19/2016,,,
2026352035,4/20/2016,4/20/2016,1,461,510,20263520354/20/2016,,,
